Player name,Score
Josh,661
Josh,255
Josh,217
Josh,372
Josh,553
Josh,821
Josh,525
Josh,44
Josh,247
Josh,855
Josh,443
Josh,3
Josh,519
Josh,84
Josh,419
Josh,750
Josh,251
Josh,504
Josh,530
Josh,930
Josh,961
Josh,534
Josh,687
Josh,740
Josh,888
Josh,553
Josh,215
Josh,361
Josh,466
Josh,782
Josh,775
Josh,670
Josh,264
Josh,695
Josh,94
Josh,160
Josh,902
Josh,698
Josh,838
Josh,629
Josh,481
Josh,919
Josh,787
Josh,837
Josh,561
Josh,49
Josh,326
Josh,415
Josh,935
Josh,900
Josh,647
Josh,992
Josh,530
Josh,741
Josh,639
Josh,927
Josh,250
Josh,396
Josh,367
Josh,618
Josh,156
Josh,928
Josh,631
Josh,112
Josh,838
Josh,501
Josh,225
Josh,444
Josh,113
Josh,89
Josh,114
Josh,196
Josh,80
Josh,134
Josh,151
Josh,29
Josh,120
Josh,970
Josh,601
Josh,937
Josh,857
Josh,757
Josh,619
Josh,749
Josh,404
Josh,275
Josh,4
Josh,3
Josh,960
Josh,732
Josh,4
Josh,119
Josh,98
Josh,771
Josh,138
Josh,419
Josh,839
Josh,707
Josh,21
Josh,138
Luke,599
Luke,861
Luke,644
Luke,314
Luke,681
Luke,503
Luke,787
Luke,869
Luke,475
Luke,385
Luke,858
Luke,602
Luke,516
Luke,889
Luke,33
Luke,450
Luke,585
Luke,182
Luke,518
Luke,459
Luke,560
Luke,337
Luke,205
Luke,592
Luke,867
Luke,593
Luke,684
Luke,269
Luke,198
Luke,704
Luke,741
Luke,553
Luke,422
Luke,517
Luke,603
Luke,250
Luke,409
Luke,394
Luke,863
Luke,307
Luke,121
Luke,22
Luke,859
Luke,883
Luke,506
Luke,562
Luke,19
Luke,461
Luke,956
Luke,193
Luke,121
Luke,587
Luke,653
Luke,894
Luke,176
Luke,250
Luke,776
Luke,63
Luke,274
Luke,402
Luke,112
Luke,754
Luke,111
Luke,676
Luke,607
Luke,799
Luke,543
Luke,756
Luke,729
Luke,360
Luke,628
Luke,689
Luke,762
Luke,927
Luke,701
Luke,993
Luke,60
Luke,476
Luke,897
Luke,418
Luke,282
Luke,859
Luke,205
Luke,119
Luke,699
Luke,187
Luke,752
Luke,316
Luke,801
Luke,996
Luke,572
Luke,865
Luke,781
Luke,888
Luke,238
Luke,680
Luke,337
Luke,94
Luke,459
Luke,9
Kate,951
Kate,974
Kate,511
Kate,944
Kate,204
Kate,978
Kate,68
Kate,712
Kate,961
Kate,459
Kate,113
Kate,877
Kate,70
Kate,932
Kate,424
Kate,469
Kate,490
Kate,517
Kate,691
Kate,214
Kate,826
Kate,524
Kate,188
Kate,389
Kate,152
Kate,640
Kate,541
Kate,426
Kate,159
Kate,702
Kate,7
Kate,36
Kate,663
Kate,455
Kate,925
Kate,836
Kate,782
Kate,397
Kate,592
Kate,56
Kate,715
Kate,252
Kate,433
Kate,581
Kate,675
Kate,562
Kate,124
Kate,738
Kate,76
Kate,801
Kate,505
Kate,134
Kate,983
Kate,573
Kate,418
Kate,21
Kate,313
Kate,38
Kate,705
Kate,703
Kate,343
Kate,233
Kate,654
Kate,987
Kate,192
Kate,659
Kate,201
Kate,843
Kate,435
Kate,657
Kate,8
Kate,373
Kate,689
Kate,748
Kate,890
Kate,970
Kate,131
Kate,424
Kate,81
Kate,458
Kate,549
Kate,454
Kate,745
Kate,159
Kate,436
Kate,135
Kate,388
Kate,597
Kate,580
Kate,289
Kate,740
Kate,851
Kate,899
Kate,558
Kate,681
Kate,956
Kate,138
Kate,592
Kate,242
Kate,270
Mark,9
Mark,666
Mark,875
Mark,813
Mark,827
Mark,75
Mark,846
Mark,69
Mark,255
Mark,138
Mark,233
Mark,93
Mark,552
Mark,823
Mark,162
Mark,223
Mark,366
Mark,591
Mark,370
Mark,482
Mark,128
Mark,78
Mark,636
Mark,417
Mark,121
Mark,780
Mark,502
Mark,495
Mark,786
Mark,538
Mark,929
Mark,696
Mark,444
Mark,612
Mark,99
Mark,135
Mark,211
Mark,168
Mark,896
Mark,300
Mark,910
Mark,677
Mark,286
Mark,78
Mark,936
Mark,745
Mark,744
Mark,612
Mark,76
Mark,847
Mark,264
Mark,242
Mark,317
Mark,107
Mark,610
Mark,95
Mark,794
Mark,958
Mark,690
Mark,865
Mark,706
Mark,209
Mark,188
Mark,467
Mark,982
Mark,393
Mark,820
Mark,562
Mark,688
Mark,976
Mark,598
Mark,143
Mark,666
Mark,964
Mark,450
Mark,385
Mark,18
Mark,131
Mark,581
Mark,255
Mark,946
Mark,136
Mark,93
Mark,385
Mark,63
Mark,254
Mark,947
Mark,369
Mark,839
Mark,112
Mark,525
Mark,810
Mark,376
Mark,977
Mark,302
Mark,246
Mark,993
Mark,289
Mark,364
Mark,452
Mary,821
Mary,739
Mary,621
Mary,710
Mary,76
Mary,236
Mary,849
Mary,440
Mary,713
Mary,896
Mary,486
Mary,705
Mary,607
Mary,108
Mary,262
Mary,498
Mary,158
Mary,209
Mary,917
Mary,730
Mary,129
Mary,177
Mary,649
Mary,345
Mary,71
Mary,85
Mary,503
Mary,66
Mary,549
Mary,318
Mary,33
Mary,715
Mary,978
Mary,669
Mary,428
Mary,613
Mary,548
Mary,274
Mary,680
Mary,896
Mary,577
Mary,906
Mary,630
Mary,680
Mary,628
Mary,829
Mary,64
Mary,714
Mary,983
Mary,575
Mary,104
Mary,636
Mary,317
Mary,913
Mary,712
Mary,379
Mary,119
Mary,466
Mary,630
Mary,12
Mary,340
Mary,790
Mary,745
Mary,518
Mary,361
Mary,23
Mary,336
Mary,858
Mary,477
Mary,144
Mary,718
Mary,367
Mary,625
Mary,553
Mary,567
Mary,314
Mary,326
Mary,75
Mary,128
Mary,546
Mary,31
Mary,856
Mary,519
Mary,286
Mary,692
Mary,326
Mary,933
Mary,133
Mary,614
Mary,312
Mary,380
Mary,540
Mary,748
Mary,30
Mary,938
Mary,397
Mary,998
Mary,745
Mary,960
Mary,848
